,,,Dessert (aliment moyen),2.18
viandes | œufs | poissons et assimilés,poissons crus,-,Dorade royale ou daurade ou vraie daurade | crue | élevage,0
viandes | œufs | poissons et assimilés,poissons crus,-,Mulet | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Truite de mer | crue,0
viandes | œufs | poissons et assimilés,poissons crus,-,Merlan | cru,0.2
viandes | œufs | poissons et assimilés,poissons crus,-,Morue | salée | sèche,0
viandes | œufs | poissons et assimilés,poissons crus,-,Dorade grise | ou daurade grise | ou griset | crue,0.3
viandes | œufs | poissons et assimilés,poissons crus,-,Bogue | crue,0
viandes | œufs | poissons et assimilés,poissons crus,-,Bonite | crue,0
viandes | œufs | poissons et assimilés,poissons crus,-,Maquereau espagnol ou maquereau blanc ou billard | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Denté | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Saint-Pierre | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Grondin | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Corb | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Capelan | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Dorade rose | ou daurade rose | crue,0
viandes | œufs | poissons et assimilés,poissons crus,-,Rouget-barbet de roche | vapeur,0
viandes | œufs | poissons et assimilés,poissons crus,-,Saupe | crue,0
viandes | œufs | poissons et assimilés,poissons crus,-,Chinchard | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Églefin | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Congre | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Grenadier (de roche) | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Lieu jaune ou colin | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Julienne ou Lingue | crue,0
viandes | œufs | poissons et assimilés,poissons crus,-,Tacaud | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Lieu noir | cru,0.2
viandes | œufs | poissons et assimilés,poissons crus,-,Limande-sole | crue,0
viandes | œufs | poissons et assimilés,poissons crus,-,Foie de morue | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Vivaneau | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Sabre | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Flétan du Groënland ou flétan noir ou flétan commun | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Carangue | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Coulirou | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Saumon | cru | sauvage,0
viandes | œufs | poissons et assimilés,poissons crus,-,Requin | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Orphie commune | crue,0
viandes | œufs | poissons et assimilés,poissons crus,-,Lompe | crue,0
viandes | œufs | poissons et assimilés,poissons crus,-,Brème | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Omble chevalier | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Loup tacheté | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Sprat | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Turbot | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Corégone lavaret | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Mérou | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Lingue bleue ou Lingue | crue,0
viandes | œufs | poissons et assimilés,poissons crus,-,Sole tropicale ou Sole langue | crue,0
viandes | œufs | poissons et assimilés,poissons crus,-,Turbot d'élevage | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Bar commun ou loup (Méditerranée) | cru | sauvage,0
viandes | œufs | poissons et assimilés,poissons crus,-,Bar commun ou loup (Méditerranée) | cru | élevage,0
viandes | œufs | poissons et assimilés,poissons crus,-,Baudroie rousse ou Lotte | crue,0
viandes | œufs | poissons et assimilés,poissons crus,-,Sébaste du nord | ou grand sébaste | ou dorade sébaste | ou daurade sébaste | crue,0
viandes | œufs | poissons et assimilés,poissons crus,-,Hoki | tout lieu de pêche | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Grenadier bleu ou hoki de Nouvelle-Zélande | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Grondin perlon | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Merlu blanc du Cap | surgelé | cru,0.3
viandes | œufs | poissons et assimilés,poissons crus,-,Chinchard maigre | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Chinchard gras | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Hareng maigre | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Hareng gras | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Joëls (petits poissons entiers) pour friture | crus,0
viandes | œufs | poissons et assimilés,poissons crus,-,Empereur | filet | sans peau | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Rouget-barbet | filet avec peau | surgelé | cru (Thaïlande | Sénégal…),0
viandes | œufs | poissons et assimilés,poissons crus,-,Carpe | crue | élevage,0
viandes | œufs | poissons et assimilés,poissons crus,-,Truite d'élevage | crue,0
viandes | œufs | poissons et assimilés,poissons crus,-,Truite arc en ciel | crue | élevage,0
viandes | œufs | poissons et assimilés,poissons crus,-,Perche | crue,0
viandes | œufs | poissons et assimilés,poissons crus,-,Brochet | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Esturgeon | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Anguille | crue,0
viandes | œufs | poissons et assimilés,poissons crus,-,Pangasius ou Poisson-chat | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Tilapia | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Truite saumonée | crue,0
viandes | œufs | poissons et assimilés,poissons crus,-,Lotte de rivière | crue,0
viandes | œufs | poissons et assimilés,poissons crus,-,Sandre | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Perche du Nil | crue,0
viandes | œufs | poissons et assimilés,mollusques et crustacés cuits,-,Bigorneau | cuit,0
viandes | œufs | poissons et assimilés,mollusques et crustacés cuits,-,Coquille Saint-Jacques | noix et corail | cuite,0.3
viandes | œufs | poissons et assimilés,mollusques et crustacés cuits,-,Crevette grise | cuite,0
viandes | œufs | poissons et assimilés,mollusques et crustacés cuits,-,Crevette | cuite,0.08
viandes | œufs | poissons et assimilés,mollusques et crustacés cuits,-,Homard | bouilli/cuit à l'eau,0
viandes | œufs | poissons et assimilés,mollusques et crustacés cuits,-,Moule | bouillie/cuite à l'eau,0.15
viandes | œufs | poissons et assimilés,mollusques et crustacés cuits,-,Bulot ou Buccin | cuit,0
viandes | œufs | poissons et assimilés,mollusques et crustacés cuits,-,Langouste | bouillie/cuite à l'eau,0
viandes | œufs | poissons et assimilés,mollusques et crustacés cuits,-,Crabe ou Tourteau | bouilli/cuit à l'eau,0
viandes | œufs | poissons et assimilés,mollusques et crustacés cuits,-,Clam | Praire ou Palourde | bouilli/cuit à l'eau,0
viandes | œufs | poissons et assimilés,mollusques et crustacés cuits,-,Écrevisse | cuite,0.2
viandes | œufs | poissons et assimilés,mollusques et crustacés cuits,-,Crevette rose bouquet | cuite,0
viandes | œufs | poissons et assimilés,mollusques et crustacés cuits,-,Calmar ou calamar ou encornet | bouilli/cuit à l'eau,0
viandes | œufs | poissons et assimilés,mollusques et crustacés cuits,-,Fruits de mer (aliment moyen),0.078
viandes | œufs | poissons et assimilés,mollusques et crustacés cuits,-,Langoustine | bouillie/cuite à l'eau,0
viandes | œufs | poissons et assimilés,mollusques et crustacés cuits,-,Araignée de mer | cuite,0
viandes | œufs | poissons et assimilés,mollusques et crustacés cuits,-,Crevette pattes blanches | cuite,0
viandes | œufs | poissons et assimilés,mollusques et crustacés cuits,-,Crevette géante tigrée | cuite,0
viandes | œufs | poissons et assimilés,mollusques et crustacés cuits,-,Crevette royale rose | cuite,0
viandes | œufs | poissons et assimilés,mollusques et crustacés cuits,-,Poulpe | cuit,0
viandes | œufs | poissons et assimilés,mollusques et crustacés cuits,-,Fruits de mer | cuits | surgelés,0.3
viandes | œufs | poissons et assimilés,mollusques et crustacés cuits,-,Calmar ou calamar ou encornet | frit ou poêlé avec matière grasse,0
viandes | œufs | poissons et assimilés,mollusques et crustacés cuits,-,Escargot | sans matière grasse ajoutée | cuit,0.2
viandes | œufs | poissons et assimilés,mollusques et crustacés cuits,-,Grenouille | cuisse | grillée/poêlée,0
viandes | œufs | poissons et assimilés,mollusques et crustacés crus,-,Calmar ou calamar ou encornet | cru,0
viandes | œufs | poissons et assimilés,mollusques et crustacés crus,-,Coquille Saint-Jacques | noix et corail | crue,0.23
viandes | œufs | poissons et assimilés,mollusques et crustacés crus,-,Escargot | cru,0.2
viandes | œufs | poissons et assimilés,mollusques et crustacés crus,-,Homard | cru,0
viandes | œufs | poissons et assimilés,mollusques et crustacés crus,-,Huître | sans précision | crue,0
viandes | œufs | poissons et assimilés,mollusques et crustacés crus,-,Moule commune | crue,0
viandes | œufs | poissons et assimilés,mollusques et crustacés crus,-,Langouste | crue,0
viandes | œufs | poissons et assimilés,mollusques et crustacés crus,-,Seiche | crue,0
viandes | œufs | poissons et assimilés,mollusques et crustacés crus,-,Clam | Praire ou Palourde | cru,0.16
viandes | œufs | poissons et assimilés,mollusques et crustacés crus,-,Poulpe | cru,0.2
viandes | œufs | poissons et assimilés,mollusques et crustacés crus,-,Bulot ou Buccin | cru,0
viandes | œufs | poissons et assimilés,mollusques et crustacés crus,-,Crevette | crue,0
viandes | œufs | poissons et assimilés,mollusques et crustacés crus,-,Langoustine | crue,0
viandes | œufs | poissons et assimilés,mollusques et crustacés crus,-,Moule de Méditerranée | crue,0
viandes | œufs | poissons et assimilés,mollusques et crustacés crus,-,Écrevisse | crue,0
viandes | œufs | poissons et assimilés,mollusques et crustacés crus,-,Huître creuse | crue,0
viandes | œufs | poissons et assimilés,mollusques et crustacés crus,-,Huître plate | crue,0
viandes | œufs | poissons et assimilés,mollusques et crustacés crus,-,Crevette | surgelée | crue,0.41
viandes | œufs | poissons et assimilés,mollusques et crustacés crus,-,Crabe | cru,0
viandes | œufs | poissons et assimilés,mollusques et crustacés crus,-,Ormeau | cru,0
viandes | œufs | poissons et assimilés,mollusques et crustacés crus,-,Coquille Saint-Jacques | noix | crue,0.3
viandes | œufs | poissons et assimilés,mollusques et crustacés crus,-,Pecten d'Amérique ou Peigne du canada | noix | crue,0
viandes | œufs | poissons et assimilés,mollusques et crustacés crus,-,Pétoncle ou Peigne du Pérou | noix | crue,0
viandes | œufs | poissons et assimilés,mollusques et crustacés crus,-,Crevette rose | crue,0
viandes | œufs | poissons et assimilés,mollusques et crustacés crus,-,Grenouille | cuisse | crue,0.3
viandes | œufs | poissons et assimilés,produits à base de poissons et produits de la mer,-,Rillettes de crabe | préemballées,0.9
viandes | œufs | poissons et assimilés,produits à base de poissons et produits de la mer,-,Rillettes de poisson | préemballées,0.2
viandes | œufs | poissons et assimilés,produits à base de poissons et produits de la mer,-,Rillettes de saumon | préemballées,0.35
viandes | œufs | poissons et assimilés,produits à base de poissons et produits de la mer,-,Rillettes de thon | préemballées,0.45
viandes | œufs | poissons et assimilés,produits à base de poissons et produits de la mer,-,Rillettes de maquereau | préemballées,0
viandes | œufs | poissons et assimilés,produits à base de poissons et produits de la mer,-,Terrine de poisson | préemballée,0.067
viandes | œufs | poissons et assimilés,produits à base de poissons et produits de la mer,-,Terrine de fruits de mer | avec ou sans poisson | préemballée,0.1
viandes | œufs | poissons et assimilés,produits à base de poissons et produits de la mer,-,Tarama | préemballé,0.29
viandes | œufs | poissons et assimilés,produits à base de poissons et produits de la mer,-,Calmar ou Calamar ou encornet | à la romaine (beignet),0.3
viandes | œufs | poissons et assimilés,produits à base de poissons et produits de la mer,-,Crabe | miettes et ou pattes décortiquées | appertisé | égoutté,0.3
viandes | œufs | poissons et assimilés,produits à base de poissons et produits de la mer,-,Langoustine | panée | frite,0
viandes | œufs | poissons et assimilés,produits à base de poissons et produits de la mer,-,Beignet de crevette,2.35
viandes | œufs | poissons et assimilés,produits à base de poissons et produits de la mer,-,Moule | appertisée | égouttée,0.3
viandes | œufs | poissons et assimilés,produits à base de poissons et produits de la mer,-,Escargot en sauce au beurre persillé | préemballé | cuit,0.3
viandes | œufs | poissons et assimilés,produits à base de poissons et produits de la mer,-,Moules à la sauce catalane ou escabèche (tomate) | appertisée | égouttée,1.5
viandes | œufs | poissons et assimilés,produits à base de poissons et produits de la mer,-,Accra de poisson,0.2
